id;instituicao;nome_categoria;categoria_instituicao
114;Guarda Municipal de Alagoinha;Guarda Municipal;5
115;Guarda Municipal de Alagoinha;Guarda Municipal;5
116;Guarda Municipal de Alagoinha do Piauí;Guarda Municipal;5
117;Guarda Municipal de Alagoinhas;Guarda Municipal;5
118;Guarda Municipal de Alambari;Guarda Municipal;5
119;Guarda Municipal de Albertina;Guarda Municipal;5
120;Guarda Municipal de Alcantil;Guarda Municipal;5
121;Guarda Municipal de Alcinópolis;Guarda Municipal;5
122;Guarda Municipal de Alcobaça;Guarda Municipal;5
123;Guarda Municipal de Alcântara;Guarda Municipal;5
124;Guarda Municipal de Alcântaras;Guarda Municipal;5
125;Guarda Municipal de Aldeias Altas;Guarda Municipal;5
126;Guarda Municipal de Alecrim;Guarda Municipal;5
127;Guarda Municipal de Alegre;Guarda Municipal;5
128;Guarda Municipal de Alegrete;Guarda Municipal;5
129;Guarda Municipal de Alegrete do Piauí;Guarda Municipal;5
130;Guarda Municipal de Alegria;Guarda Municipal;5
131;Guarda Municipal de Alenquer;Guarda Municipal;5
132;Guarda Municipal de Alexandria;Guarda Municipal;5
133;Guarda Municipal de Alexânia;Guarda Municipal;5
134;Guarda Municipal de Alfenas;Guarda Municipal;5
135;Guarda Municipal de Alfredo Chaves;Guarda Municipal;5
136;Guarda Municipal de Alfredo Marcondes;Guarda Municipal;5
137;Guarda Municipal de Alfredo Vasconcelos;Guarda Municipal;5
138;Guarda Municipal de Alfredo Wagner;Guarda Municipal;5
139;Guarda Municipal de Algodão de Jandaíra;Guarda Municipal;5
140;Guarda Municipal de Alhandra;Guarda Municipal;5
141;Guarda Municipal de Aliança;Guarda Municipal;5
142;Guarda Municipal de Aliança do Tocantins;Guarda Municipal;5
143;Guarda Municipal de Almadina;Guarda Municipal;5
144;Guarda Municipal de Almas;Guarda Municipal;5
145;Guarda Municipal de Almeirim;Guarda Municipal;5
146;Guarda Municipal de Almenara;Guarda Municipal;5
147;Guarda Municipal de Almino Afonso;Guarda Municipal;5
148;Guarda Municipal de Almirante Tamandaré;Guarda Municipal;5
149;Guarda Municipal de Almirante Tamandaré do Sul;Guarda Municipal;5
150;Guarda Municipal de Aloândia;Guarda Municipal;5
151;Guarda Municipal de Alpercata;Guarda Municipal;5
152;Guarda Municipal de Alpestre;Guarda Municipal;5
153;Guarda Municipal de Alpinópolis;Guarda Municipal;5
154;Guarda Municipal de Alta Floresta;Guarda Municipal;5
155;Guarda Municipal de Alta Floresta D'Oeste;Guarda Municipal;5
156;Guarda Municipal de Altair;Guarda Municipal;5
157;Guarda Municipal de Altamira;Guarda Municipal;5
158;Guarda Municipal de Altamira do Maranhão;Guarda Municipal;5
159;Guarda Municipal de Altamira do Paraná;Guarda Municipal;5
160;Guarda Municipal de Altaneira;Guarda Municipal;5
161;Guarda Municipal de Alterosa;Guarda Municipal;5
162;Guarda Municipal de Altinho;Guarda Municipal;5
163;Guarda Municipal de Altinópolis;Guarda Municipal;5
164;Guarda Municipal de Alto Alegre;Guarda Municipal;5
165;Guarda Municipal de Alto Alegre;Guarda Municipal;5
166;Guarda Municipal de Alto Alegre;Guarda Municipal;5
167;Guarda Municipal de Alto Alegre do Maranhão;Guarda Municipal;5
168;Guarda Municipal de Alto Alegre do Pindaré;Guarda Municipal;5
169;Guarda Municipal de Alto Alegre dos Parecis;Guarda Municipal;5
170;Guarda Municipal de Alto Araguaia;Guarda Municipal;5
171;Guarda Municipal de Alto Bela Vista;Guarda Municipal;5
172;Guarda Municipal de Alto Boa Vista;Guarda Municipal;5
173;Guarda Municipal de Alto Caparaó;Guarda Municipal;5
174;Guarda Municipal de Alto Feliz;Guarda Municipal;5
175;Guarda Municipal de Alto Garças;Guarda Municipal;5
176;Guarda Municipal de Alto Horizonte;Guarda Municipal;5
177;Guarda Municipal de Alto Jequitibá;Guarda Municipal;5
178;Guarda Municipal de Alto Longá;Guarda Municipal;5
179;Guarda Municipal de Alto Paraguai;Guarda Municipal;5
180;Guarda Municipal de Alto Paraná;Guarda Municipal;5
181;Guarda Municipal de Alto Paraíso;Guarda Municipal;5
182;Guarda Municipal de Alto Paraíso;Guarda Municipal;5
183;Guarda Municipal de Alto Paraíso de Goiás;Guarda Municipal;5
184;Guarda Municipal de Alto Parnaíba;Guarda Municipal;5
185;Guarda Municipal de Alto Piquiri;Guarda Municipal;5
186;Guarda Municipal de Alto Rio Doce;Guarda Municipal;5
187;Guarda Municipal de Alto Rio Novo;Guarda Municipal;5
188;Guarda Municipal de Alto Santo;Guarda Municipal;5
189;Guarda Municipal de Alto Taquari;Guarda Municipal;5
190;Guarda Municipal de Alto do Rodrigues;Guarda Municipal;5
191;Guarda Municipal de Altos;Guarda Municipal;5
192;Guarda Municipal de Altônia;Guarda Municipal;5
193;Guarda Municipal de Alumínio;Guarda Municipal;5
194;Guarda Municipal de Alvarenga;Guarda Municipal;5
195;Guarda Municipal de Alvarães;Guarda Municipal;5
196;Guarda Municipal de Alvinlândia;Guarda Municipal;5
197;Guarda Municipal de Alvinópolis;Guarda Municipal;5
198;Guarda Municipal de Alvorada;Guarda Municipal;5
199;Guarda Municipal de Alvorada;Guarda Municipal;5
200;Guarda Municipal de Alvorada D'Oeste;Guarda Municipal;5
201;Guarda Municipal de Alvorada de Minas;Guarda Municipal;5
202;Guarda Municipal de Alvorada do Gurguéia;Guarda Municipal;5
203;Guarda Municipal de Alvorada do Norte;Guarda Municipal;5
204;Guarda Municipal de Alvorada do Sul;Guarda Municipal;5
205;Guarda Municipal de Além Paraíba;Guarda Municipal;5
206;Guarda Municipal de Amajari;Guarda Municipal;5
207;Guarda Municipal de Amambai;Guarda Municipal;5
208;Guarda Municipal de Amaporã;Guarda Municipal;5
209;Guarda Municipal de Amapá;Guarda Municipal;5
210;Guarda Municipal de Amapá do Maranhão;Guarda Municipal;5
211;Guarda Municipal de Amaraji;Guarda Municipal;5
212;Guarda Municipal de Amaral Ferrador;Guarda Municipal;5
213;Guarda Municipal de Amaralina;Guarda Municipal;5
214;Guarda Municipal de Amarante;Guarda Municipal;5
215;Guarda Municipal de Amarante do Maranhão;Guarda Municipal;5
216;Guarda Municipal de Amargosa;Guarda Municipal;5
217;Guarda Municipal de Amaturá;Guarda Municipal;5
218;Guarda Municipal de Americana;Guarda Municipal;5
219;Guarda Municipal de Americano do Brasil;Guarda Municipal;5
220;Guarda Municipal de Ametista do Sul;Guarda Municipal;5
221;Guarda Municipal de Amontada;Guarda Municipal;5
222;Guarda Municipal de Amorinópolis;Guarda Municipal;5
223;Guarda Municipal de Amparo;Guarda Municipal;5
224;Guarda Municipal de Amparo;Guarda Municipal;5
225;Guarda Municipal de Amparo de São Francisco;Guarda Municipal;5
226;Guarda Municipal de Amparo do Serra;Guarda Municipal;5
227;Guarda Municipal de Ampére;Guarda Municipal;5
228;Guarda Municipal de Amélia Rodrigues;Guarda Municipal;5
229;Guarda Municipal de América Dourada;Guarda Municipal;5
230;Guarda Municipal de Américo Brasiliense;Guarda Municipal;5
231;Guarda Municipal de Américo de Campos;Guarda Municipal;5
232;Guarda Municipal de Anadia;Guarda Municipal;5
233;Guarda Municipal de Anagé;Guarda Municipal;5
234;Guarda Municipal de Anahy;Guarda Municipal;5
235;Guarda Municipal de Anajatuba;Guarda Municipal;5
236;Guarda Municipal de Anajás;Guarda Municipal;5
237;Guarda Municipal de Analândia;Guarda Municipal;5
238;Guarda Municipal de Anamã;Guarda Municipal;5
239;Guarda Municipal de Ananindeua;Guarda Municipal;5
240;Guarda Municipal de Ananás;Guarda Municipal;5
241;Guarda Municipal de Anapu;Guarda Municipal;5
242;Guarda Municipal de Anapurus;Guarda Municipal;5
243;Guarda Municipal de Anastácio;Guarda Municipal;5
244;Guarda Municipal de Anaurilândia;Guarda Municipal;5
245;Guarda Municipal de Anchieta;Guarda Municipal;5
246;Guarda Municipal de Anchieta;Guarda Municipal;5
247;Guarda Municipal de Andaraí;Guarda Municipal;5
248;Guarda Municipal de Andirá;Guarda Municipal;5
249;Guarda Municipal de Andorinha;Guarda Municipal;5
250;Guarda Municipal de Andradas;Guarda Municipal;5
251;Guarda Municipal de Andradina;Guarda Municipal;5
252;Guarda Municipal de Andrelândia;Guarda Municipal;5
253;Guarda Municipal de André da Rocha;Guarda Municipal;5
254;Guarda Municipal de Angatuba;Guarda Municipal;5
255;Guarda Municipal de Angelim;Guarda Municipal;5
256;Guarda Municipal de Angelina;Guarda Municipal;5
257;Guarda Municipal de Angelândia;Guarda Municipal;5
258;Guarda Municipal de Angical;Guarda Municipal;5
259;Guarda Municipal de Angical do Piauí;Guarda Municipal;5
260;Guarda Municipal de Angico;Guarda Municipal;5
261;Guarda Municipal de Angicos;Guarda Municipal;5
262;Guarda Municipal de Angra dos Reis;Guarda Municipal;5
263;Guarda Municipal de Anguera;Guarda Municipal;5
264;Guarda Municipal de Angélica;Guarda Municipal;5
265;Guarda Municipal de Anhanguera;Guarda Municipal;5
266;Guarda Municipal de Anhembi;Guarda Municipal;5
267;Guarda Municipal de Anhumas;Guarda Municipal;5
268;Guarda Municipal de Anicuns;Guarda Municipal;5
269;Guarda Municipal de Anita Garibaldi;Guarda Municipal;5
270;Guarda Municipal de Anitápolis;Guarda Municipal;5
271;Guarda Municipal de Anori;Guarda Municipal;5
272;Guarda Municipal de Anta Gorda;Guarda Municipal;5
273;Guarda Municipal de Antas;Guarda Municipal;5
274;Guarda Municipal de Antonina;Guarda Municipal;5
275;Guarda Municipal de Antonina do Norte;Guarda Municipal;5
276;Guarda Municipal de Antônio Almeida;Guarda Municipal;5
277;Guarda Municipal de Antônio Cardoso;Guarda Municipal;5
278;Guarda Municipal de Antônio Carlos;Guarda Municipal;5
279;Guarda Municipal de Antônio Carlos;Guarda Municipal;5
280;Guarda Municipal de Antônio Dias;Guarda Municipal;5
281;Guarda Municipal de Antônio Gonçalves;Guarda Municipal;5
282;Guarda Municipal de Antônio João;Guarda Municipal;5
283;Guarda Municipal de Antônio Martins;Guarda Municipal;5
284;Guarda Municipal de Antônio Olinto;Guarda Municipal;5
285;Guarda Municipal de Antônio Prado;Guarda Municipal;5
286;Guarda Municipal de Antônio Prado de Minas;Guarda Municipal;5
287;Guarda Municipal de Anápolis;Guarda Municipal;5
288;Guarda Municipal de Anísio de Abreu;Guarda Municipal;5
289;Guarda Municipal de Aparecida;Guarda Municipal;5
290;Guarda Municipal de Aparecida;Guarda Municipal;5
291;Guarda Municipal de Aparecida d'Oeste;Guarda Municipal;5
292;Guarda Municipal de Aparecida de Goiânia;Guarda Municipal;5
293;Guarda Municipal de Aparecida do Rio Doce;Guarda Municipal;5
294;Guarda Municipal de Aparecida do Rio Negro;Guarda Municipal;5
295;Guarda Municipal de Aparecida do Taboado;Guarda Municipal;5
296;Guarda Municipal de Aperibé;Guarda Municipal;5
297;Guarda Municipal de Apiacá;Guarda Municipal;5
298;Guarda Municipal de Apiacás;Guarda Municipal;5
299;Guarda Municipal de Apiaí;Guarda Municipal;5
300;Guarda Municipal de Apicum-Açu;Guarda Municipal;5
301;Guarda Municipal de Apiúna;Guarda Municipal;5
