id;instituicao;nome_categoria;categoria_instituicao
1334;Guarda Municipal de Comercinho;Guarda Municipal;5
1335;Guarda Municipal de Comodoro;Guarda Municipal;5
1336;Guarda Municipal de Conceição;Guarda Municipal;5
1337;Guarda Municipal de Conceição da Aparecida;Guarda Municipal;5
1338;Guarda Municipal de Conceição da Barra;Guarda Municipal;5
1339;Guarda Municipal de Conceição da Barra de Minas;Guarda Municipal;5
1340;Guarda Municipal de Conceição da Feira;Guarda Municipal;5
1341;Guarda Municipal de Conceição das Alagoas;Guarda Municipal;5
1342;Guarda Municipal de Conceição das Pedras;Guarda Municipal;5
1343;Guarda Municipal de Conceição de Ipanema;Guarda Municipal;5
1344;Guarda Municipal de Conceição de Macabu;Guarda Municipal;5
1345;Guarda Municipal de Conceição do Almeida;Guarda Municipal;5
1346;Guarda Municipal de Conceição do Araguaia;Guarda Municipal;5
1347;Guarda Municipal de Conceição do Canindé;Guarda Municipal;5
1348;Guarda Municipal de Conceição do Castelo;Guarda Municipal;5
1349;Guarda Municipal de Conceição do Coité;Guarda Municipal;5
1350;Guarda Municipal de Conceição do Jacuípe;Guarda Municipal;5
1351;Guarda Municipal de Conceição do Lago-Açu;Guarda Municipal;5
1352;Guarda Municipal de Conceição do Mato Dentro;Guarda Municipal;5
1353;Guarda Municipal de Conceição do Pará;Guarda Municipal;5
1354;Guarda Municipal de Conceição do Rio Verde;Guarda Municipal;5
1355;Guarda Municipal de Conceição do Tocantins;Guarda Municipal;5
1356;Guarda Municipal de Conceição dos Ouros;Guarda Municipal;5
1357;Guarda Municipal de Conchal;Guarda Municipal;5
1358;Guarda Municipal de Conchas;Guarda Municipal;5
1359;Guarda Municipal de Concórdia;Guarda Municipal;5
1360;Guarda Municipal de Concórdia do Pará;Guarda Municipal;5
1361;Guarda Municipal de Condado;Guarda Municipal;5
1362;Guarda Municipal de Condado;Guarda Municipal;5
1363;Guarda Municipal de Conde;Guarda Municipal;5
1364;Guarda Municipal de Conde;Guarda Municipal;5
1365;Guarda Municipal de Condeúba;Guarda Municipal;5
1366;Guarda Municipal de Condor;Guarda Municipal;5
1367;Guarda Municipal de Confins;Guarda Municipal;5
1368;Guarda Municipal de Confresa;Guarda Municipal;5
1369;Guarda Municipal de Congo;Guarda Municipal;5
1370;Guarda Municipal de Congonhal;Guarda Municipal;5
1371;Guarda Municipal de Congonhas;Guarda Municipal;5
1372;Guarda Municipal de Congonhas do Norte;Guarda Municipal;5
1373;Guarda Municipal de Congonhinhas;Guarda Municipal;5
1374;Guarda Municipal de Conquista;Guarda Municipal;5
1375;Guarda Municipal de Conquista D'Oeste;Guarda Municipal;5
1376;Guarda Municipal de Conselheiro Lafaiete;Guarda Municipal;5
1377;Guarda Municipal de Conselheiro Mairinck;Guarda Municipal;5
1378;Guarda Municipal de Conselheiro Pena;Guarda Municipal;5
1379;Guarda Municipal de Consolação;Guarda Municipal;5
1380;Guarda Municipal de Constantina;Guarda Municipal;5
1381;Guarda Municipal de Contagem;Guarda Municipal;5
1382;Guarda Municipal de Contenda;Guarda Municipal;5
1383;Guarda Municipal de Contendas do Sincorá;Guarda Municipal;5
1384;Guarda Municipal de Coqueiral;Guarda Municipal;5
1385;Guarda Municipal de Coqueiro Baixo;Guarda Municipal;5
1386;Guarda Municipal de Coqueiro Seco;Guarda Municipal;5
1387;Guarda Municipal de Coqueiros do Sul;Guarda Municipal;5
1388;Guarda Municipal de Coração de Jesus;Guarda Municipal;5
1389;Guarda Municipal de Coração de Maria;Guarda Municipal;5
1390;Guarda Municipal de Corbélia;Guarda Municipal;5
1391;Guarda Municipal de Cordeiro;Guarda Municipal;5
1392;Guarda Municipal de Cordeiros;Guarda Municipal;5
1393;Guarda Municipal de Cordeirópolis;Guarda Municipal;5
1394;Guarda Municipal de Cordilheira Alta;Guarda Municipal;5
1395;Guarda Municipal de Cordisburgo;Guarda Municipal;5
1396;Guarda Municipal de Cordislândia;Guarda Municipal;5
1397;Guarda Municipal de Coreaú;Guarda Municipal;5
1398;Guarda Municipal de Coremas;Guarda Municipal;5
1399;Guarda Municipal de Corguinho;Guarda Municipal;5
1400;Guarda Municipal de Coribe;Guarda Municipal;5
1401;Guarda Municipal de Corinto;Guarda Municipal;5
1402;Guarda Municipal de Cornélio Procópio;Guarda Municipal;5
1403;Guarda Municipal de Coroaci;Guarda Municipal;5
1404;Guarda Municipal de Coroados;Guarda Municipal;5
1405;Guarda Municipal de Coroatá;Guarda Municipal;5
1406;Guarda Municipal de Coromandel;Guarda Municipal;5
1407;Guarda Municipal de Coronel Barros;Guarda Municipal;5
1408;Guarda Municipal de Coronel Bicaco;Guarda Municipal;5
1409;Guarda Municipal de Coronel Domingos Soares;Guarda Municipal;5
1410;Guarda Municipal de Coronel Ezequiel;Guarda Municipal;5
1411;Guarda Municipal de Coronel Fabriciano;Guarda Municipal;5
1412;Guarda Municipal de Coronel Freitas;Guarda Municipal;5
1413;Guarda Municipal de Coronel José Dias;Guarda Municipal;5
1414;Guarda Municipal de Coronel João Pessoa;Guarda Municipal;5
1415;Guarda Municipal de Coronel João Sá;Guarda Municipal;5
1416;Guarda Municipal de Coronel Macedo;Guarda Municipal;5
1417;Guarda Municipal de Coronel Martins;Guarda Municipal;5
1418;Guarda Municipal de Coronel Murta;Guarda Municipal;5
1419;Guarda Municipal de Coronel Pacheco;Guarda Municipal;5
1420;Guarda Municipal de Coronel Pilar;Guarda Municipal;5
1421;Guarda Municipal de Coronel Sapucaia;Guarda Municipal;5
1422;Guarda Municipal de Coronel Vivida;Guarda Municipal;5
1423;Guarda Municipal de Coronel Xavier Chaves;Guarda Municipal;5
1424;Guarda Municipal de Correia Pinto;Guarda Municipal;5
1425;Guarda Municipal de Corrente;Guarda Municipal;5
1426;Guarda Municipal de Correntes;Guarda Municipal;5
1427;Guarda Municipal de Correntina;Guarda Municipal;5
1428;Guarda Municipal de Cortês;Guarda Municipal;5
1429;Guarda Municipal de Corumbataí;Guarda Municipal;5
1430;Guarda Municipal de Corumbataí do Sul;Guarda Municipal;5
1431;Guarda Municipal de Corumbaíba;Guarda Municipal;5
1432;Guarda Municipal de Corumbiara;Guarda Municipal;5
1433;Guarda Municipal de Corumbá;Guarda Municipal;5
1434;Guarda Municipal de Corumbá de Goiás;Guarda Municipal;5
1435;Guarda Municipal de Corupá;Guarda Municipal;5
1436;Guarda Municipal de Coruripe;Guarda Municipal;5
1437;Guarda Municipal de Cosmorama;Guarda Municipal;5
1438;Guarda Municipal de Cosmópolis;Guarda Municipal;5
1439;Guarda Municipal de Costa Marques;Guarda Municipal;5
1440;Guarda Municipal de Costa Rica;Guarda Municipal;5
1441;Guarda Municipal de Cotegipe;Guarda Municipal;5
1442;Guarda Municipal de Cotia;Guarda Municipal;5
1443;Guarda Municipal de Cotiporã;Guarda Municipal;5
1444;Guarda Municipal de Cotriguaçu;Guarda Municipal;5
1445;Guarda Municipal de Couto Magalhães;Guarda Municipal;5
1446;Guarda Municipal de Couto de Magalhães de Minas;Guarda Municipal;5
1447;Guarda Municipal de Coxilha;Guarda Municipal;5
1448;Guarda Municipal de Coxim;Guarda Municipal;5
1449;Guarda Municipal de Coxixola;Guarda Municipal;5
1450;Guarda Municipal de Crateús;Guarda Municipal;5
1451;Guarda Municipal de Crato;Guarda Municipal;5
1452;Guarda Municipal de Cravinhos;Guarda Municipal;5
1453;Guarda Municipal de Cravolândia;Guarda Municipal;5
1454;Guarda Municipal de Craíbas;Guarda Municipal;5
1455;Guarda Municipal de Criciúma;Guarda Municipal;5
1456;Guarda Municipal de Crissiumal;Guarda Municipal;5
1457;Guarda Municipal de Cristais;Guarda Municipal;5
1458;Guarda Municipal de Cristais Paulista;Guarda Municipal;5
1459;Guarda Municipal de Cristal;Guarda Municipal;5
1460;Guarda Municipal de Cristal do Sul;Guarda Municipal;5
1461;Guarda Municipal de Cristalina;Guarda Municipal;5
1462;Guarda Municipal de Cristalândia;Guarda Municipal;5
1463;Guarda Municipal de Cristalândia do Piauí;Guarda Municipal;5
1464;Guarda Municipal de Cristiano Otoni;Guarda Municipal;5
1465;Guarda Municipal de Cristianópolis;Guarda Municipal;5
1466;Guarda Municipal de Cristina;Guarda Municipal;5
1467;Guarda Municipal de Cristino Castro;Guarda Municipal;5
1468;Guarda Municipal de Cristinápolis;Guarda Municipal;5
1469;Guarda Municipal de Cristália;Guarda Municipal;5
1470;Guarda Municipal de Cristópolis;Guarda Municipal;5
1471;Guarda Municipal de Crisólita;Guarda Municipal;5
1472;Guarda Municipal de Crisópolis;Guarda Municipal;5
1473;Guarda Municipal de Crixás;Guarda Municipal;5
1474;Guarda Municipal de Crixás do Tocantins;Guarda Municipal;5
1475;Guarda Municipal de Croatá;Guarda Municipal;5
1476;Guarda Municipal de Cromínia;Guarda Municipal;5
1477;Guarda Municipal de Crucilândia;Guarda Municipal;5
1478;Guarda Municipal de Cruz;Guarda Municipal;5
1479;Guarda Municipal de Cruz Alta;Guarda Municipal;5
1480;Guarda Municipal de Cruz Machado;Guarda Municipal;5
1481;Guarda Municipal de Cruz das Almas;Guarda Municipal;5
1482;Guarda Municipal de Cruz do Espírito Santo;Guarda Municipal;5
1483;Guarda Municipal de Cruzaltense;Guarda Municipal;5
1484;Guarda Municipal de Cruzeiro;Guarda Municipal;5
1485;Guarda Municipal de Cruzeiro da Fortaleza;Guarda Municipal;5
1486;Guarda Municipal de Cruzeiro do Iguaçu;Guarda Municipal;5
1487;Guarda Municipal de Cruzeiro do Oeste;Guarda Municipal;5
1488;Guarda Municipal de Cruzeiro do Sul;Guarda Municipal;5
1489;Guarda Municipal de Cruzeiro do Sul;Guarda Municipal;5
1490;Guarda Municipal de Cruzeiro do Sul;Guarda Municipal;5
1491;Guarda Municipal de Cruzeta;Guarda Municipal;5
1492;Guarda Municipal de Cruzmaltina;Guarda Municipal;5
1493;Guarda Municipal de Cruzália;Guarda Municipal;5
1494;Guarda Municipal de Cruzília;Guarda Municipal;5
1495;Guarda Municipal de Cubati;Guarda Municipal;5
1496;Guarda Municipal de Cubatão;Guarda Municipal;5
1497;Guarda Municipal de Cuiabá;Guarda Municipal;5
1498;Guarda Municipal de Cuitegi;Guarda Municipal;5
1499;Guarda Municipal de Cuité;Guarda Municipal;5
1500;Guarda Municipal de Cuité de Mamanguape;Guarda Municipal;5
1501;Guarda Municipal de Cujubim;Guarda Municipal;5
1502;Guarda Municipal de Cumari;Guarda Municipal;5
1503;Guarda Municipal de Cumaru;Guarda Municipal;5
1504;Guarda Municipal de Cumaru do Norte;Guarda Municipal;5
1505;Guarda Municipal de Cumbe;Guarda Municipal;5
1506;Guarda Municipal de Cunha;Guarda Municipal;5
1507;Guarda Municipal de Cunha Porã;Guarda Municipal;5
1508;Guarda Municipal de Cunhataí;Guarda Municipal;5
1509;Guarda Municipal de Cuparaque;Guarda Municipal;5
1510;Guarda Municipal de Cupira;Guarda Municipal;5
1511;Guarda Municipal de Curaçá;Guarda Municipal;5
1512;Guarda Municipal de Curimatá;Guarda Municipal;5
1513;Guarda Municipal de Curionópolis;Guarda Municipal;5
1514;Guarda Municipal de Curitiba;Guarda Municipal;5
1515;Guarda Municipal de Curitibanos;Guarda Municipal;5
1516;Guarda Municipal de Curiúva;Guarda Municipal;5
1517;Guarda Municipal de Currais;Guarda Municipal;5
1518;Guarda Municipal de Currais Novos;Guarda Municipal;5
1519;Guarda Municipal de Curral Novo do Piauí;Guarda Municipal;5
1520;Guarda Municipal de Curral Velho;Guarda Municipal;5
1521;Guarda Municipal de Curral de Cima;Guarda Municipal;5
1522;Guarda Municipal de Curral de Dentro;Guarda Municipal;5
1523;Guarda Municipal de Curralinho;Guarda Municipal;5
1524;Guarda Municipal de Curralinhos;Guarda Municipal;5
1525;Guarda Municipal de Cururupu;Guarda Municipal;5
1526;Guarda Municipal de Curuá;Guarda Municipal;5
1527;Guarda Municipal de Curuçá;Guarda Municipal;5
1528;Guarda Municipal de Curvelo;Guarda Municipal;5
1529;Guarda Municipal de Curvelândia;Guarda Municipal;5
1530;Guarda Municipal de Custódia;Guarda Municipal;5
1531;Guarda Municipal de Cutias;Guarda Municipal;5
1532;Guarda Municipal de Cáceres;Guarda Municipal;5
1533;Guarda Municipal de Cássia;Guarda Municipal;5
1534;Guarda Municipal de Cássia dos Coqueiros;Guarda Municipal;5
1535;Guarda Municipal de Cândido Godói;Guarda Municipal;5
1536;Guarda Municipal de Cândido Mendes;Guarda Municipal;5
1537;Guarda Municipal de Cândido Mota;Guarda Municipal;5
1538;Guarda Municipal de Cândido Rodrigues;Guarda Municipal;5
1539;Guarda Municipal de Cândido Sales;Guarda Municipal;5
1540;Guarda Municipal de Cândido de Abreu;Guarda Municipal;5
1541;Guarda Municipal de Céu Azul;Guarda Municipal;5
1542;Guarda Municipal de Cícero Dantas;Guarda Municipal;5
1543;Guarda Municipal de Córrego Danta;Guarda Municipal;5
1544;Guarda Municipal de Córrego Fundo;Guarda Municipal;5
1545;Guarda Municipal de Córrego Novo;Guarda Municipal;5
1546;Guarda Municipal de Córrego do Bom Jesus;Guarda Municipal;5
1547;Guarda Municipal de Córrego do Ouro;Guarda Municipal;5
1548;Guarda Municipal de Cônego Marinho;Guarda Municipal;5
1549;Guarda Municipal de Damianópolis;Guarda Municipal;5
1550;Guarda Municipal de Damião;Guarda Municipal;5
1551;Guarda Municipal de Damolândia;Guarda Municipal;5
1552;Guarda Municipal de Darcinópolis;Guarda Municipal;5
1553;Guarda Municipal de Datas;Guarda Municipal;5
1554;Guarda Municipal de David Canabarro;Guarda Municipal;5
1555;Guarda Municipal de Davinópolis;Guarda Municipal;5
1556;Guarda Municipal de Davinópolis;Guarda Municipal;5
1557;Guarda Municipal de Delfim Moreira;Guarda Municipal;5
1558;Guarda Municipal de Delfinópolis;Guarda Municipal;5
1559;Guarda Municipal de Delmiro Gouveia;Guarda Municipal;5
1560;Guarda Municipal de Delta;Guarda Municipal;5
1561;Guarda Municipal de Demerval Lobão;Guarda Municipal;5
1562;Guarda Municipal de Denise;Guarda Municipal;5
1563;Guarda Municipal de Deodápolis;Guarda Municipal;5
1564;Guarda Municipal de Deputado Irapuan Pinheiro;Guarda Municipal;5
1565;Guarda Municipal de Derrubadas;Guarda Municipal;5
1566;Guarda Municipal de Descalvado;Guarda Municipal;5
1567;Guarda Municipal de Descanso;Guarda Municipal;5
1568;Guarda Municipal de Descoberto;Guarda Municipal;5
1569;Guarda Municipal de Desterro;Guarda Municipal;5
1570;Guarda Municipal de Desterro de Entre Rios;Guarda Municipal;5
1571;Guarda Municipal de Desterro do Melo;Guarda Municipal;5
1572;Guarda Municipal de Dezesseis de Novembro;Guarda Municipal;5
1573;Guarda Municipal de Diadema;Guarda Municipal;5
1574;Guarda Municipal de Diamante;Guarda Municipal;5
1575;Guarda Municipal de Diamante D'Oeste;Guarda Municipal;5
1576;Guarda Municipal de Diamante do Norte;Guarda Municipal;5
1577;Guarda Municipal de Diamante do Sul;Guarda Municipal;5
1578;Guarda Municipal de Diamantina;Guarda Municipal;5
1579;Guarda Municipal de Diamantino;Guarda Municipal;5
1580;Guarda Municipal de Dianópolis;Guarda Municipal;5
1581;Guarda Municipal de Dias d'Ávila;Guarda Municipal;5
1582;Guarda Municipal de Dilermando de Aguiar;Guarda Municipal;5
1583;Guarda Municipal de Diogo de Vasconcelos;Guarda Municipal;5
1584;Guarda Municipal de Dionísio;Guarda Municipal;5
1585;Guarda Municipal de Dionísio Cerqueira;Guarda Municipal;5
1586;Guarda Municipal de Diorama;Guarda Municipal;5
1587;Guarda Municipal de Dirce Reis;Guarda Municipal;5
1588;Guarda Municipal de Dirceu Arcoverde;Guarda Municipal;5
1589;Guarda Municipal de Divina Pastora;Guarda Municipal;5
1590;Guarda Municipal de Divino;Guarda Municipal;5
1591;Guarda Municipal de Divino das Laranjeiras;Guarda Municipal;5
1592;Guarda Municipal de Divino de São Lourenço;Guarda Municipal;5
1593;Guarda Municipal de Divinolândia;Guarda Municipal;5
1594;Guarda Municipal de Divinolândia de Minas;Guarda Municipal;5
1595;Guarda Municipal de Divinésia;Guarda Municipal;5
1596;Guarda Municipal de Divinópolis;Guarda Municipal;5
1597;Guarda Municipal de Divinópolis de Goiás;Guarda Municipal;5
1598;Guarda Municipal de Divinópolis do Tocantins;Guarda Municipal;5
1599;Guarda Municipal de Divisa Alegre;Guarda Municipal;5
1600;Guarda Municipal de Divisa Nova;Guarda Municipal;5
1601;Guarda Municipal de Divisópolis;Guarda Municipal;5
1602;Guarda Municipal de Dobrada;Guarda Municipal;5
1603;Guarda Municipal de Dois Córregos;Guarda Municipal;5
1604;Guarda Municipal de Dois Irmãos;Guarda Municipal;5
1605;Guarda Municipal de Dois Irmãos das Missões;Guarda Municipal;5
1606;Guarda Municipal de Dois Irmãos do Buriti;Guarda Municipal;5
1607;Guarda Municipal de Dois Irmãos do Tocantins;Guarda Municipal;5
1608;Guarda Municipal de Dois Lajeados;Guarda Municipal;5
1609;Guarda Municipal de Dois Riachos;Guarda Municipal;5
1610;Guarda Municipal de Dois Vizinhos;Guarda Municipal;5
1611;Guarda Municipal de Dolcinópolis;Guarda Municipal;5
1612;Guarda Municipal de Dom Aquino;Guarda Municipal;5
1613;Guarda Municipal de Dom Basílio;Guarda Municipal;5
1614;Guarda Municipal de Dom Bosco;Guarda Municipal;5
1615;Guarda Municipal de Dom Cavati;Guarda Municipal;5
1616;Guarda Municipal de Dom Eliseu;Guarda Municipal;5
1617;Guarda Municipal de Dom Expedito Lopes;Guarda Municipal;5
1618;Guarda Municipal de Dom Feliciano;Guarda Municipal;5
1619;Guarda Municipal de Dom Inocêncio;Guarda Municipal;5
1620;Guarda Municipal de Dom Joaquim;Guarda Municipal;5
1621;Guarda Municipal de Dom Macedo Costa;Guarda Municipal;5
1622;Guarda Municipal de Dom Pedrito;Guarda Municipal;5
1623;Guarda Municipal de Dom Pedro;Guarda Municipal;5
1624;Guarda Municipal de Dom Pedro de Alcântara;Guarda Municipal;5
1625;Guarda Municipal de Dom Silvério;Guarda Municipal;5
1626;Guarda Municipal de Dom Viçoso;Guarda Municipal;5
1627;Guarda Municipal de Domingos Martins;Guarda Municipal;5
1628;Guarda Municipal de Domingos Mourão;Guarda Municipal;5
1629;Guarda Municipal de Dona Emma;Guarda Municipal;5
1630;Guarda Municipal de Dona Eusébia;Guarda Municipal;5
1631;Guarda Municipal de Dona Francisca;Guarda Municipal;5
1632;Guarda Municipal de Dona Inês;Guarda Municipal;5
1633;Guarda Municipal de Dores de Campos;Guarda Municipal;5
1634;Guarda Municipal de Dores de Guanhães;Guarda Municipal;5
1635;Guarda Municipal de Dores do Indaiá;Guarda Municipal;5
1636;Guarda Municipal de Dores do Rio Preto;Guarda Municipal;5
1637;Guarda Municipal de Dores do Turvo;Guarda Municipal;5
1638;Guarda Municipal de Doresópolis;Guarda Municipal;5
1639;Guarda Municipal de Dormentes;Guarda Municipal;5
1640;Guarda Municipal de Douradina;Guarda Municipal;5
1641;Guarda Municipal de Douradina;Guarda Municipal;5
1642;Guarda Municipal de Dourado;Guarda Municipal;5
1643;Guarda Municipal de Douradoquara;Guarda Municipal;5
1644;Guarda Municipal de Dourados;Guarda Municipal;5
1645;Guarda Municipal de Doutor Camargo;Guarda Municipal;5
1646;Guarda Municipal de Doutor Maurício Cardoso;Guarda Municipal;5
1647;Guarda Municipal de Doutor Pedrinho;Guarda Municipal;5
1648;Guarda Municipal de Doutor Ricardo;Guarda Municipal;5
1649;Guarda Municipal de Doutor Severiano;Guarda Municipal;5
1650;Guarda Municipal de Doutor Ulysses;Guarda Municipal;5
1651;Guarda Municipal de Doverlândia;Guarda Municipal;5
1652;Guarda Municipal de Dracena;Guarda Municipal;5
1653;Guarda Municipal de Duartina;Guarda Municipal;5
1654;Guarda Municipal de Duas Barras;Guarda Municipal;5
1655;Guarda Municipal de Duas Estradas;Guarda Municipal;5
1656;Guarda Municipal de Dueré;Guarda Municipal;5
1657;Guarda Municipal de Dumont;Guarda Municipal;5
1658;Guarda Municipal de Duque Bacelar;Guarda Municipal;5
1659;Guarda Municipal de Duque de Caxias;Guarda Municipal;5
1660;Guarda Municipal de Durandé;Guarda Municipal;5
1661;Guarda Municipal de Dário Meira;Guarda Municipal;5
1662;Guarda Municipal de Echaporã;Guarda Municipal;5
1663;Guarda Municipal de Ecoporanga;Guarda Municipal;5
1664;Guarda Municipal de Edealina;Guarda Municipal;5
1665;Guarda Municipal de Edéia;Guarda Municipal;5
1666;Guarda Municipal de Eirunepé;Guarda Municipal;5
1667;Guarda Municipal de Eldorado;Guarda Municipal;5
1668;Guarda Municipal de Eldorado;Guarda Municipal;5
1669;Guarda Municipal de Eldorado do Carajás;Guarda Municipal;5
1670;Guarda Municipal de Eldorado do Sul;Guarda Municipal;5
1671;Guarda Municipal de Elesbão Veloso;Guarda Municipal;5
1672;Guarda Municipal de Elias Fausto;Guarda Municipal;5
1673;Guarda Municipal de Eliseu Martins;Guarda Municipal;5
1674;Guarda Municipal de Elisiário;Guarda Municipal;5
1675;Guarda Municipal de Elísio Medrado;Guarda Municipal;5
1676;Guarda Municipal de Elói Mendes;Guarda Municipal;5
1677;Guarda Municipal de Emas;Guarda Municipal;5
1678;Guarda Municipal de Embaúba;Guarda Municipal;5
1679;Guarda Municipal de Embu das Artes;Guarda Municipal;5
1680;Guarda Municipal de Embu-Guaçu;Guarda Municipal;5
1681;Guarda Municipal de Emilianópolis;Guarda Municipal;5
1682;Guarda Municipal de Encantado;Guarda Municipal;5
1683;Guarda Municipal de Encanto;Guarda Municipal;5
1684;Guarda Municipal de Encruzilhada;Guarda Municipal;5
1685;Guarda Municipal de Encruzilhada do Sul;Guarda Municipal;5
1686;Guarda Municipal de Engenheiro Beltrão;Guarda Municipal;5
1687;Guarda Municipal de Engenheiro Caldas;Guarda Municipal;5
1688;Guarda Municipal de Engenheiro Coelho;Guarda Municipal;5
1689;Guarda Municipal de Engenheiro Navarro;Guarda Municipal;5
1690;Guarda Municipal de Engenheiro Paulo de Frontin;Guarda Municipal;5
1691;Guarda Municipal de Engenho Velho;Guarda Municipal;5
1692;Guarda Municipal de Entre Folhas;Guarda Municipal;5
1693;Guarda Municipal de Entre Rios;Guarda Municipal;5
1694;Guarda Municipal de Entre Rios;Guarda Municipal;5
1695;Guarda Municipal de Entre Rios de Minas;Guarda Municipal;5
1696;Guarda Municipal de Entre Rios do Oeste;Guarda Municipal;5
1697;Guarda Municipal de Entre Rios do Sul;Guarda Municipal;5
1698;Guarda Municipal de Entre-Ijuís;Guarda Municipal;5
1699;Guarda Municipal de Envira;Guarda Municipal;5
1700;Guarda Municipal de Enéas Marques;Guarda Municipal;5
1701;Guarda Municipal de Epitaciolândia;Guarda Municipal;5
1702;Guarda Municipal de Equador;Guarda Municipal;5
1703;Guarda Municipal de Erebango;Guarda Municipal;5
1704;Guarda Municipal de Erechim;Guarda Municipal;5
1705;Guarda Municipal de Ererê;Guarda Municipal;5
1706;Guarda Municipal de Ermo;Guarda Municipal;5
1707;Guarda Municipal de Ernestina;Guarda Municipal;5
1708;Guarda Municipal de Erval Grande;Guarda Municipal;5
1709;Guarda Municipal de Erval Seco;Guarda Municipal;5
1710;Guarda Municipal de Erval Velho;Guarda Municipal;5
1711;Guarda Municipal de Ervália;Guarda Municipal;5
1712;Guarda Municipal de Escada;Guarda Municipal;5
1713;Guarda Municipal de Esmeralda;Guarda Municipal;5
1714;Guarda Municipal de Esmeraldas;Guarda Municipal;5
1715;Guarda Municipal de Espera Feliz;Guarda Municipal;5
1716;Guarda Municipal de Esperantina;Guarda Municipal;5
1717;Guarda Municipal de Esperantina;Guarda Municipal;5
1718;Guarda Municipal de Esperantinópolis;Guarda Municipal;5
1719;Guarda Municipal de Esperança;Guarda Municipal;5
1720;Guarda Municipal de Esperança Nova;Guarda Municipal;5
1721;Guarda Municipal de Esperança do Sul;Guarda Municipal;5
1722;Guarda Municipal de Espigão Alto do Iguaçu;Guarda Municipal;5
1723;Guarda Municipal de Espigão D'Oeste;Guarda Municipal;5
1724;Guarda Municipal de Espinosa;Guarda Municipal;5
1725;Guarda Municipal de Esplanada;Guarda Municipal;5
1726;Guarda Municipal de Espumoso;Guarda Municipal;5
1727;Guarda Municipal de Espírito Santo;Guarda Municipal;5
1728;Guarda Municipal de Espírito Santo do Dourado;Guarda Municipal;5
1729;Guarda Municipal de Espírito Santo do Pinhal;Guarda Municipal;5
1730;Guarda Municipal de Espírito Santo do Turvo;Guarda Municipal;5
1731;Guarda Municipal de Estação;Guarda Municipal;5
1732;Guarda Municipal de Esteio;Guarda Municipal;5
1733;Guarda Municipal de Estiva;Guarda Municipal;5
1734;Guarda Municipal de Estiva Gerbi;Guarda Municipal;5
1735;Guarda Municipal de Estreito;Guarda Municipal;5
1736;Guarda Municipal de Estrela;Guarda Municipal;5
1737;Guarda Municipal de Estrela Dalva;Guarda Municipal;5
1738;Guarda Municipal de Estrela Velha;Guarda Municipal;5
1739;Guarda Municipal de Estrela d'Oeste;Guarda Municipal;5
1740;Guarda Municipal de Estrela de Alagoas;Guarda Municipal;5
1741;Guarda Municipal de Estrela do Indaiá;Guarda Municipal;5
1742;Guarda Municipal de Estrela do Norte;Guarda Municipal;5
1743;Guarda Municipal de Estrela do Norte;Guarda Municipal;5
1744;Guarda Municipal de Estrela do Sul;Guarda Municipal;5
1745;Guarda Municipal de Estância;Guarda Municipal;5
1746;Guarda Municipal de Estância Velha;Guarda Municipal;5
1747;Guarda Municipal de Euclides da Cunha;Guarda Municipal;5
1748;Guarda Municipal de Euclides da Cunha Paulista;Guarda Municipal;5
1749;Guarda Municipal de Eugenópolis;Guarda Municipal;5
1750;Guarda Municipal de Eugênio de Castro;Guarda Municipal;5
1751;Guarda Municipal de Eunápolis;Guarda Municipal;5
1752;Guarda Municipal de Eusébio;Guarda Municipal;5
1753;Guarda Municipal de Ewbank da Câmara;Guarda Municipal;5
1754;Guarda Municipal de Extrema;Guarda Municipal;5
1755;Guarda Municipal de Extremoz;Guarda Municipal;5
1756;Guarda Municipal de Exu;Guarda Municipal;5
1757;Guarda Municipal de Fagundes;Guarda Municipal;5
1758;Guarda Municipal de Fagundes Varela;Guarda Municipal;5
1759;Guarda Municipal de Faina;Guarda Municipal;5
1760;Guarda Municipal de Fama;Guarda Municipal;5
1761;Guarda Municipal de Faria Lemos;Guarda Municipal;5
1762;Guarda Municipal de Farias Brito;Guarda Municipal;5
1763;Guarda Municipal de Faro;Guarda Municipal;5
1764;Guarda Municipal de Farol;Guarda Municipal;5
1765;Guarda Municipal de Farroupilha;Guarda Municipal;5
1766;Guarda Municipal de Fartura;Guarda Municipal;5
1767;Guarda Municipal de Fartura do Piauí;Guarda Municipal;5
1768;Guarda Municipal de Faxinal;Guarda Municipal;5
1769;Guarda Municipal de Faxinal do Soturno;Guarda Municipal;5
1770;Guarda Municipal de Faxinal dos Guedes;Guarda Municipal;5
1771;Guarda Municipal de Faxinalzinho;Guarda Municipal;5
1772;Guarda Municipal de Fazenda Nova;Guarda Municipal;5
1773;Guarda Municipal de Fazenda Rio Grande;Guarda Municipal;5
1774;Guarda Municipal de Fazenda Vilanova;Guarda Municipal;5
1775;Guarda Municipal de Feijó;Guarda Municipal;5
1776;Guarda Municipal de Feira Grande;Guarda Municipal;5
1777;Guarda Municipal de Feira Nova;Guarda Municipal;5
1778;Guarda Municipal de Feira Nova;Guarda Municipal;5
1779;Guarda Municipal de Feira Nova do Maranhão;Guarda Municipal;5
1780;Guarda Municipal de Feira da Mata;Guarda Municipal;5
1781;Guarda Municipal de Feira de Santana;Guarda Municipal;5
1782;Guarda Municipal de Felipe Guerra;Guarda Municipal;5
1783;Guarda Municipal de Felisburgo;Guarda Municipal;5
1784;Guarda Municipal de Felixlândia;Guarda Municipal;5
